CG_gene	ident	ECOLI_gene
cg0183	0.01	NaN
cg0184	0.01	NaN
cg0185	0.01	NaN
cg0186	0.01	NaN
cg0187	0.01	NaN
cg0188	0.01	NaN
cg0191	0.01	NaN
cg0192	0.01	NaN
cg0193	0.01	NaN
cg0194	0.01	NaN
cg0195	0.01	NaN
cg0196	0.01	NaN
cg0197	0.01	NaN
cg0198	0.01	NaN
cg0199	0.01	NaN
cg0201	0.01	NaN
cg0202	0.01	NaN
cg0203	0.01	NaN
cg0204	0.01	NaN
cg0205	0.01	NaN
cg0206	0.01	NaN
cg0207	0.01	NaN
cg0208	0.01	NaN
cg0209	0.01	NaN
cg0210	0.01	NaN
cg0211	0.01	NaN
cg0212	0.01	NaN
cg0214	0.01	NaN
cg0215	0.01	NaN
cg0216	0.01	NaN
cg0217	0.01	NaN
cg0218	0.01	NaN
cg0219	0.01	NaN
cg0220	0.01	NaN
cg0221	0.01	NaN
cg0222	0.01	NaN
cg0223	0.01	NaN
cg0226	0.01	NaN
cg0228	0.01	NaN
cg0229	0.01	NaN
cg0230	0.01	NaN
cg0231	0.01	NaN
cg0232	0.01	NaN
cg0233	0.01	NaN
cg0235	0.01	NaN
cg0236	0.01	NaN
cg0237	0.01	NaN
cg0238	0.01	NaN
cg0239	0.01	NaN
cg0240	0.01	NaN
cg0241	0.01	NaN
cg0242	0.01	NaN
cg0243	0.01	NaN
cg0244	0.01	NaN
cg0245	0.01	NaN
cg0246	0.01	NaN
cg0247	0.01	NaN
cg0248	0.01	NaN
cg0249	0.01	NaN
cg0250	0.01	NaN
cg0251	0.01	NaN
cg0252	0.01	NaN
cg0253	0.01	NaN
cg0254	0.01	NaN
cg0255	0.01	NaN
cg0256	0.01	NaN
cg0257	0.01	NaN
cg0258	0.01	NaN
cg0259	0.01	NaN
cg0260	0.01	NaN
cg0261	0.01	NaN
cg0262	0.01	NaN
cg0263	0.01	NaN
cg0264	0.01	NaN
cg0265	0.01	NaN
cg0266	0.01	NaN
cg0267	0.01	NaN
cg0269	0.01	NaN
cg0270	0.01	NaN
cg0272	0.01	NaN
cg0273	0.01	NaN
cg0274	0.01	NaN
cg0275	0.01	NaN
cg0277	0.01	NaN
cg0279	0.01	NaN
cg0280	0.01	NaN
cg0281	0.01	NaN
cg0282	0.01	NaN
cg0283	0.01	NaN
cg0284	0.01	NaN
cg0285	0.01	NaN
cg0286	0.01	NaN
cg0287	0.01	NaN
cg0288	0.01	NaN
cg0289	0.01	NaN
cg0291	0.01	NaN
cg0292	0.01	NaN
cg0293	0.01	NaN
cg0294	0.01	NaN
cg0295	0.01	NaN
cg0296	0.01	NaN
cg0297	0.01	NaN
cg0298	0.01	NaN
cg0299	0.01	NaN
cg0300	0.01	NaN
cg0302	0.01	NaN
cg0303	0.01	NaN
cg0304	0.01	NaN
cg0305	0.01	NaN
cg0306	0.01	NaN
cg0307	0.01	NaN
cg0308	0.01	NaN
cg0309	0.01	NaN
cg0310	0.01	NaN
cg0311	0.01	NaN
cg0313	0.01	NaN
cg0314	0.01	NaN
cg0315	0.01	NaN
cg0316	0.01	NaN
cg0317	0.01	NaN
cg0318	0.01	NaN
cg0319	0.01	NaN
cg0321	0.01	NaN
cg0322	0.01	NaN
cg0323	0.01	NaN
cg0324	0.01	NaN
cg0325	0.01	NaN
cg0326	0.01	NaN
cg0327	0.01	NaN
cg0328	0.01	NaN
cg0330	0.01	NaN
cg0331	0.01	NaN
cg0332	0.01	NaN
cg0333	0.01	NaN
cg0334	0.01	NaN
cg0335	0.01	NaN
cg0336	0.01	NaN
cg0337	0.01	NaN
cg0338	0.01	NaN
cg0339	0.01	NaN
cg0340	0.01	NaN
cg0341	0.01	NaN
cg0343	0.01	NaN
cg0344	0.01	NaN
cg0345	0.01	NaN
cg0346	0.01	NaN
cg0347	0.01	NaN
cg0349	0.01	NaN
cg0350	0.01	NaN
cg0352	0.01	NaN
cg0353	0.01	NaN
cg0354	0.01	NaN
cg0355	0.01	NaN
cg0356	0.01	NaN
cg0358	0.01	NaN
cg0359	0.01	NaN
cg0360	0.01	NaN
cg0362	0.01	NaN
cg0363	0.01	NaN
cg0364	0.01	NaN
cg0365	0.01	NaN
cg0366	0.01	NaN
cg0368	0.01	NaN
cg0369	0.01	NaN
cg0370	0.01	NaN
cg0371	0.01	NaN
cg0372	0.01	NaN
cg0373	0.01	NaN
cg0374	0.01	NaN
cg0375	0.01	NaN
cg0376	0.01	NaN
cg0378	0.01	NaN
cg0380	0.01	NaN
cg0382	0.01	NaN
cg0384	0.01	NaN
cg0385	0.01	NaN
cg0386	0.01	NaN
cg0387	0.01	NaN
cg0388	0.01	NaN
cg0389	0.01	NaN
cg0390	0.01	NaN
cg0391	0.01	NaN
cg0393	0.01	NaN
cg0394	0.01	NaN
cg0395	0.01	NaN
cg0396	0.01	NaN
cg0397	0.01	NaN
cg0398	0.01	NaN
cg0399	0.01	NaN
cg0400	0.01	NaN
cg0401	0.01	NaN
cg0402	0.01	NaN
cg0403	0.01	NaN
cg0404	0.01	NaN
cg0405	0.01	NaN
cg0407	0.01	NaN
cg0408	0.01	NaN
cg0409	0.01	NaN
cg0410	0.01	NaN
cg0411	0.01	NaN
cg0412	0.01	NaN
cg0413	0.01	NaN
cg0414	0.01	NaN
cg0415	0.01	NaN
cg0416	0.01	NaN
cg0417	0.01	NaN
cg0418	0.01	NaN
cg0419	0.01	NaN
cg0420	0.01	NaN
cg0421	0.01	NaN
cg0422	0.01	NaN
cg0423	0.01	NaN
cg0424	0.01	NaN
cg0426	0.01	NaN
cg0427	0.01	NaN
cg0428	0.01	NaN
cg0431	0.01	NaN
cg0432	0.01	NaN
cg0435	0.01	NaN
cg0436	0.01	NaN
cg0437	0.01	NaN
cg0438	0.01	NaN
cg0439	0.01	NaN
cg0440	0.01	NaN
cg0441	0.01	NaN
cg0442	0.01	NaN
cg0443	0.01	NaN
cg0444	0.01	NaN
cg0445	0.01	NaN
cg0446	0.01	NaN
cg0447	0.01	NaN
cg0448	0.01	NaN
cg0449	0.01	NaN
cg4001	0.01	NaN
cg0450	0.01	NaN
cg0451	0.01	NaN
cg0452	0.01	NaN
cg0453	0.01	NaN
cg0454	0.01	NaN
cg0455	0.01	NaN
cg0456	0.01	NaN
cg0457	0.01	NaN
cg0458	0.01	NaN
cg0462	0.01	NaN
cg0463	0.01	NaN
cg0464	0.01	NaN
cg0465	0.01	NaN
cg0466	0.01	NaN
cg0467	0.01	NaN
cg0468	0.01	NaN
cg0469	0.01	NaN
cg0470	0.01	NaN
cg0471	0.01	NaN
cg0472	0.01	NaN
cg0474	0.01	NaN
cg0475	0.01	NaN
cg0476	0.01	NaN
cg0477	0.01	NaN
cg0478	0.01	NaN
cg0479	0.01	NaN
cg0480	0.01	NaN
cg0481	0.01	NaN
cg0482	0.01	NaN
cg0483	0.01	NaN
cg0484	0.01	NaN
cg0485	0.01	NaN
cg0486	0.01	NaN
cg0487	0.01	NaN
cg0488	0.01	NaN
cg0489	0.01	NaN
cg0490	0.01	NaN
cg0491	0.01	NaN
cg0492	0.01	NaN
cg0493	0.01	NaN
cg0494	0.01	NaN
cg0495	0.01	NaN
cg0496	0.01	NaN
cg0497	0.01	NaN
cg0498	0.01	NaN
cg0499	0.01	NaN
cg0500	0.01	NaN
cg0501	0.01	NaN
cg0502	0.01	NaN
cg0503	0.01	NaN
cg0504	0.01	NaN
cg0505	0.01	NaN
cg0506	0.01	NaN
cg0507	0.01	NaN
cg0508	0.01	NaN
cg0510	0.01	NaN
cg0511	0.01	NaN
cg0512	0.01	NaN
cg0513	0.01	NaN
cg0514	0.01	NaN
cg0515	0.01	NaN
cg0516	0.01	NaN
cg0517	0.01	NaN
cg0518	0.01	NaN
cg0519	0.01	NaN
cg0520	0.01	NaN
cg0522	0.01	NaN
cg0523	0.01	NaN
cg0524	0.01	NaN
cg0525	0.01	NaN
cg0526	0.01	NaN
cg0527	0.01	NaN
cg0528	0.01	NaN
cg0530	0.01	NaN
cg0531	0.01	NaN
cg0532	0.01	NaN
cg0533	0.01	NaN
cg0534	0.01	NaN
cg0535	0.01	NaN
cg0536	0.01	NaN
cg0537	0.01	NaN
cg0538	0.01	NaN
cg0540	0.01	NaN
cg0542	0.01	NaN
cg0543	0.01	NaN
cg0544	0.01	NaN
cg0545	0.01	NaN
cg0548	0.01	NaN
cg0549	0.01	NaN
cg0550	0.01	NaN
cg0551	0.01	NaN
cg0552	0.01	NaN
cg0553	0.01	NaN
cg0554	0.01	NaN
cg0555	0.01	NaN
cg0556	0.01	NaN
cg0557	0.01	NaN
cg0559	0.01	NaN
cg0561	0.01	NaN
cg0562	0.01	NaN
cg0563	0.01	NaN
cg0564	0.01	NaN
cg0565	0.01	NaN
cg0566	0.01	NaN
cg0567	0.01	NaN
cg0568	0.01	NaN
cg0569	0.01	NaN
cg0570	0.01	NaN
cg0571	0.01	NaN
cg0572	0.01	NaN
cg0573	0.01	NaN
cg0575	0.01	NaN
cg0576	0.01	NaN
cg0577	0.79	CACVBX020002157.1
cg0578	0.01	NaN
cg0579	0.01	NaN
cg0580	0.01	NaN
cg0581	0.01	NaN
cg0582	0.01	NaN
cg0583	0.01	NaN
cg0587	0.01	NaN
cg0588	0.01	NaN
cg0589	0.01	NaN
cg0590	0.01	NaN
cg0591	0.01	NaN
cg0592	0.01	NaN
cg0593	0.01	NaN
cg0594	0.01	NaN
cg0596	0.01	NaN
cg0597	0.01	NaN
cg0598	0.01	NaN
cg0599	0.01	NaN
cg0600	0.01	NaN
cg0601	0.01	NaN
cg0602	0.01	NaN
cg0603	0.01	NaN
cg0604	0.01	NaN
cg0606	0.01	NaN
cg0607	0.01	NaN
cg0608	0.01	NaN
cg0609	0.01	NaN
cg0610	0.01	NaN
cg0611	0.01	NaN
cg0612	0.01	NaN
cg0614	0.01	NaN
cg0616	0.01	NaN
cg0617	0.01	NaN
cg0618	0.01	NaN
cg0620	0.01	NaN
cg0621	0.01	NaN
cg0622	0.01	NaN
cg0623	0.01	NaN
cg0624	0.01	NaN
cg0625	0.01	NaN
cg0627	0.01	NaN
cg0628	0.01	NaN
cg0629	0.01	NaN
cg0630	0.01	NaN
cg0631	0.01	NaN
cg0632	0.01	NaN
cg0634	0.01	NaN
cg0635	0.01	NaN
cg0636	0.01	NaN
cg0637	0.01	NaN
cg0638	0.01	NaN
cg0639	0.01	NaN
cg0640	0.01	NaN
cg0641	0.01	NaN
cg0642	0.01	NaN
cg0644	0.01	NaN
cg0645	0.01	NaN
cg0646	0.01	NaN
cg0647	0.01	NaN
cg0648	0.01	NaN
cg0649	0.01	NaN
cg0650	0.01	NaN
cg0651	0.01	NaN
cg0652	0.01	NaN
cg0653	0.01	NaN
cg0654	0.01	NaN
cg0655	0.01	NaN
cg0656	0.01	NaN
cg0657	0.01	NaN
cg0658	0.01	NaN
cg0659	0.01	NaN
cg0660	0.01	NaN
cg0661	0.01	NaN
cg0662	0.01	NaN
cg0663	0.01	NaN
cg0664	0.01	NaN
cg0665	0.01	NaN
cg0666	0.01	NaN
cg0668	0.01	NaN
cg0669	0.01	NaN
cg0671	0.01	NaN
cg0672	0.01	NaN
cg0673	0.01	NaN
cg0674	0.01	NaN
cg0675	0.01	NaN
cg0676	0.01	NaN
cg0678	0.01	NaN
cg0679	0.01	NaN
cg0680	0.01	NaN
cg0681	0.01	NaN
cg0682	0.01	NaN
cg0683	0.01	NaN
cg0684	0.01	NaN
cg0685	0.01	NaN
cg0686	0.01	NaN
cg0687	0.01	NaN
cg0688	0.01	NaN
cg0689	0.01	NaN
cg0690	0.01	NaN
cg0691	0.01	NaN
cg0692	0.01	NaN
cg0693	0.01	NaN
cg0695	0.01	NaN
cg0696	0.01	NaN
cg0697	0.01	NaN
cg0698	0.01	NaN
cg0699	0.01	NaN
cg0700	0.01	NaN
cg0701	0.01	NaN
cg0702	0.01	NaN
cg0703	0.01	NaN
cg0704	0.01	NaN
cg0705	0.01	NaN
cg0706	0.01	NaN
cg0707	0.01	NaN
cg0709	0.01	NaN
cg0710	0.01	NaN
cg0711	0.01	NaN
cg0712	0.01	NaN
cg0713	0.01	NaN
cg0714	0.01	NaN
cg0715	0.01	NaN
cg0716	0.01	NaN
cg0717	0.01	NaN
cg0718	0.01	NaN
cg0719	0.01	NaN
cg0720	0.01	NaN
cg0721	0.01	NaN
cg0722	0.01	NaN
cg0723	0.01	NaN
cg0725	0.01	NaN
cg0726	0.01	NaN
cg0727	0.01	NaN
cg0728	0.01	NaN
cg0730	0.01	NaN
cg0732	0.01	NaN
cg0733	0.01	NaN
cg0734	0.01	NaN
cg0735	0.01	NaN
cg0736	0.01	NaN
cg0737	0.01	NaN
cg0738	0.01	NaN
cg0739	0.01	NaN
cg0740	0.01	NaN
cg0741	0.01	NaN
cg0742	0.01	NaN
cg0745	0.01	NaN
cg0747	0.01	NaN
cg0748	0.01	NaN
cg0749	0.01	NaN
cg0750	0.01	NaN
cg0751	0.01	NaN
cg0752	0.01	NaN
cg0753	0.01	NaN
cg0754	0.01	NaN
cg0755	0.01	NaN
cg0756	0.01	NaN
cg0757	0.01	NaN
cg0758	0.01	NaN
cg0759	0.01	NaN
cg0760	0.01	NaN
cg0762	0.01	NaN
cg0763	0.01	NaN
cg0764	0.01	NaN
cg0765	0.01	NaN
cg0766	0.01	NaN
cg0767	0.01	NaN
cg0768	0.01	NaN
cg0769	0.01	NaN
cg0770	0.01	NaN
cg0771	0.01	NaN
cg0772	0.01	NaN
cg0773	0.01	NaN
cg0774	0.01	NaN
cg0775	0.01	NaN
cg0776	0.01	NaN
cg0777	0.01	NaN
cg0778	0.01	NaN
cg0779	0.01	NaN
cg0780	0.01	NaN
cg0781	0.01	NaN
cg0782	0.01	NaN
cg0783	0.01	NaN
cg0784	0.01	NaN
cg0785	0.01	NaN
cg0786	0.01	NaN
cg0787	0.01	NaN
cg0788	0.01	NaN
cg0789	0.01	NaN
cg0790	0.01	NaN
cg0791	0.01	NaN
cg0792	0.01	NaN
cg0793	0.01	NaN
cg0794	0.01	NaN
cg0795	0.01	NaN
cg0796	0.01	NaN
cg0797	0.01	NaN
cg0798	0.01	NaN
cg0799	0.01	NaN
cg0800	0.01	NaN
cg0801	0.01	NaN
cg0802	0.01	NaN
cg0803	0.01	NaN
cg0806	0.01	NaN
cg0807	0.01	NaN
cg0808	0.01	NaN
cg0809	0.01	NaN
cg0810	0.01	NaN
cg0811	0.01	NaN
cg0812	0.01	NaN
cg0814	0.01	NaN
cg0815	0.01	NaN
cg0816	0.01	NaN
cg0817	0.01	NaN
cg0819	0.01	NaN
cg0820	0.01	NaN
cg0821	0.01	NaN
cg0822	0.01	NaN
cg0823	0.01	NaN
cg0824	0.01	NaN
cg0825	0.01	NaN
cg0826	0.01	NaN
cg0828	0.01	NaN
cg0829	0.01	NaN
cg0830	0.01	NaN
cg0831	0.01	NaN
cg0832	0.01	NaN
cg0833	0.01	NaN
cg0834	0.01	NaN
cg0835	0.01	NaN
cg0836	0.01	NaN
cg0837	0.01	NaN
cg0838	0.01	NaN
cg0839	0.01	NaN
cg0840	0.01	NaN
cg0841	0.01	NaN
cg0842	0.01	NaN
cg0843	0.01	NaN
cg0844	0.01	NaN
cg0845	0.01	NaN
cg0847	0.01	NaN
cg0848	0.01	NaN
cg0849	0.01	NaN
cg0850	0.01	NaN
cg0851	0.01	NaN
cg0852	0.01	NaN
cg0853	0.01	NaN
cg0854	0.01	NaN
cg0855	0.01	NaN
cg0856	0.01	NaN
cg0858	0.01	NaN
cg0859	0.01	NaN
cg0860	0.01	NaN
cg0861	0.01	NaN
cg0862	0.01	NaN
cg0864	0.01	NaN
cg0865	0.01	NaN
cg0866	0.01	NaN
cg0867	0.01	NaN
cg0868	0.01	NaN
cg0869	0.01	NaN
cg0870	0.01	NaN
cg0871	0.01	NaN
cg0872	0.01	NaN
cg0873	0.01	NaN
cg0874	0.01	NaN
cg0875	0.01	NaN
cg0876	0.01	NaN
cg0877	0.01	NaN
cg0878	0.01	NaN
cg0879	0.01	NaN
cg0880	0.01	NaN
cg0881	0.01	NaN
cg0882	0.01	NaN
cg0883	0.01	NaN
cg0884	0.01	NaN
cg0885	0.01	NaN
cg0886	0.01	NaN
cg0887	0.01	NaN
cg0888	0.01	NaN
cg0889	0.01	NaN
cg0890	0.01	NaN
cg0891	0.01	NaN
cg0892	0.01	NaN
cg0893	0.01	NaN
cg0894	0.01	NaN
cg0895	0.01	NaN
cg0896	0.01	NaN
cg0897	0.01	NaN
cg0898	0.01	NaN
cg0899	0.01	NaN
cg0900	0.01	NaN
cg0901	0.01	NaN
cg0902	0.01	NaN
cg0903	0.01	NaN
cg0904	0.01	NaN
cg0905	0.01	NaN
cg0906	0.01	NaN
cg0907	0.01	NaN
cg0908	0.01	NaN
cg0909	0.01	NaN
cg0910	0.01	NaN
cg0911	0.01	NaN
cg0913	0.01	NaN
cg0914	0.01	NaN
cg0915	0.01	NaN
cg0916	0.01	NaN
cg0918	0.01	NaN
cg0919	0.01	NaN
cg0921	0.01	NaN
cg0922	0.01	NaN
cg0923	0.01	NaN
cg0924	0.01	NaN
cg0926	0.01	NaN
cg0927	0.01	NaN
cg0928	0.01	NaN
cg0931	0.01	NaN
cg0932	0.01	NaN
cg0933	0.01	NaN
cg0934	0.01	NaN
cg0935	0.01	NaN
cg0936	0.01	NaN
cg0938	0.01	NaN
cg0939	0.01	NaN
cg0940	0.01	NaN
cg0941	0.01	NaN
cg0944	0.01	NaN
cg0945	0.01	NaN
cg0946	0.01	NaN
cg0947	0.01	NaN
cg0948	0.01	NaN
cg0949	0.01	NaN
cg0950	0.01	NaN
cg0951	0.01	NaN
cg0952	0.01	NaN
cg0953	0.01	NaN
cg0954	0.01	NaN
cg0955	0.01	NaN
cg0957	0.01	NaN
cg0958	0.01	NaN
cg0960	0.01	NaN
cg0961	0.01	NaN
cg0962	0.01	NaN
cg0963	0.01	NaN
cg0964	0.01	NaN
cg0965	0.01	NaN
cg0966	0.01	NaN
cg0967	0.01	NaN
cg0968	0.01	NaN
cg0969	0.01	NaN
cg0970	0.01	NaN
cg0971	0.01	NaN
cg0972	0.01	NaN
cg0973	0.01	NaN
cg0974	0.01	NaN
cg0975	0.01	NaN
cg0976	0.01	NaN
cg0977	0.01	NaN
cg0978	0.01	NaN
cg0979	0.01	NaN
cg0980	0.01	NaN
cg0982	0.01	NaN
cg0983	0.01	NaN
cg0984	0.01	NaN
cg0985	0.01	NaN
cg0986	0.01	NaN
cg0987	0.01	NaN
cg0988	0.01	NaN
cg0989	0.01	NaN
cg0990	0.01	NaN
cg0991	0.01	NaN
cg0992	0.01	NaN
cg0993	0.01	NaN
cg0994	0.01	NaN
cg0995	0.01	NaN
cg0996	0.01	NaN
cg0997	0.01	NaN
cg0998	0.01	NaN
cg0999	0.01	NaN
cg1000	0.01	NaN
cg1001	0.01	NaN
cg1002	0.01	NaN
cg1003	0.01	NaN
cg1004	0.01	NaN
cg1005	0.01	NaN
cg1006	0.01	NaN
cg1007	0.01	NaN
cg1009	0.01	NaN
cg1010	0.01	NaN
cg1011	0.01	NaN
cg1012	0.01	NaN
cg1013	0.01	NaN
cg1014	0.01	NaN
cg1015	0.01	NaN
cg1016	0.01	NaN
cg1017	0.01	NaN
cg1018	0.01	NaN
cg1019	0.01	NaN
cg1020	0.01	NaN
cg1021	0.01	NaN
cg1022	0.01	NaN
cg1023	0.01	NaN
cg1024	0.01	NaN
cg1025	0.01	NaN
cg1027	0.01	NaN
cg1028	0.01	NaN
cg1030	0.01	NaN
cg1031	0.01	NaN
cg1032	0.01	NaN
cg1033	0.01	NaN
cg1035	0.01	NaN
cg1037	0.01	NaN
cg1038	0.01	NaN
cg1039	0.01	NaN
cg1040	0.01	NaN
cg1041	0.01	NaN
cg1043	0.01	NaN
cg1044	0.01	NaN
cg1045	0.01	NaN
cg1046	0.01	NaN
cg1048	0.01	NaN
cg1049	0.01	NaN
cg1050	0.01	NaN
cg1051	0.01	NaN
cg1052	0.01	NaN
cg1053	0.01	NaN
cg1054	0.01	NaN
cg1055	0.01	NaN
cg1056	0.01	NaN
cg1057	0.01	NaN
cg1059	0.01	NaN
cg1060	0.01	NaN
cg1061	0.01	NaN
cg1062	0.01	NaN
cg1064	0.01	NaN
cg1065	0.01	NaN
cg1066	0.01	NaN
cg1067	0.01	NaN
cg1068	0.01	NaN
cg1069	0.01	NaN
cg1070	0.01	NaN
cg1071	0.01	NaN
cg1072	0.01	NaN
cg1073	0.01	NaN
cg1074	0.01	NaN
cg1075	0.01	NaN
cg1076	0.01	NaN
cg1077	0.01	NaN
cg1080	0.01	NaN
cg1081	0.01	NaN
cg1082	0.01	NaN
cg1083	0.01	NaN
cg1084	0.01	NaN
cg1085	0.01	NaN
cg1086	0.01	NaN
cg1087	0.01	NaN
cg1088	0.01	NaN
cg1089	0.01	NaN
cg1090	0.01	NaN
cg1091	0.01	NaN
cg1092	0.01	NaN
cg1094	0.01	NaN
cg1095	0.01	NaN
cg1096	0.01	NaN
cg1097	0.01	NaN
cg1098	0.01	NaN
cg1099	0.01	NaN
cg1100	0.01	NaN
cg1101	0.01	NaN
cg1103	0.01	NaN
cg1104	0.01	NaN
cg1105	0.01	NaN
cg1106	0.01	NaN
cg1107	0.01	NaN
cg1108	0.01	NaN
cg1109	0.01	NaN
cg1110	0.01	NaN
cg1111	0.01	NaN
cg1112	0.01	NaN
cg1113	0.01	NaN
cg1115	0.01	NaN
cg1116	0.01	NaN
cg1117	0.01	NaN
cg1118	0.01	NaN
cg1119	0.01	NaN
cg1120	0.01	NaN
cg1121	0.01	NaN
cg1122	0.01	NaN
cg1123	0.01	NaN
cg1125	0.01	NaN
cg1127	0.01	NaN
cg1128	0.01	NaN
cg1129	0.01	NaN
cg1130	0.01	NaN
cg1131	0.01	NaN
cg1132	0.01	NaN
cg1133	0.01	NaN
cg1134	0.01	NaN
cg1135	0.01	NaN
cg1136	0.01	NaN
cg1137	0.01	NaN
cg1138	0.01	NaN
cg1139	0.01	NaN
cg1140	0.01	NaN
cg1141	0.01	NaN
cg1142	0.01	NaN
cg1143	0.01	NaN
cg1144	0.01	NaN
cg1145	0.01	NaN
cg1147	0.01	NaN
cg1148	0.01	NaN
cg1149	0.01	NaN
cg1150	0.01	NaN
cg1151	0.01	NaN
cg1152	0.01	NaN
cg1153	0.01	NaN
cg1156	0.01	NaN
cg1157	0.01	NaN
cg1158	0.01	NaN
cg1159	0.01	NaN
cg1160	0.01	NaN
cg1161	0.01	NaN
cg1162	0.01	NaN
cg1163	0.01	NaN
cg1164	0.01	NaN
cg1165	0.01	NaN
cg1166	0.01	NaN
cg1167	0.01	NaN
cg1169	0.01	NaN
cg1170	0.01	NaN
cg1171	0.01	NaN
cg1172	0.01	NaN
cg1173	0.01	NaN
cg1174	0.01	NaN
cg1175	0.01	NaN
cg1176	0.01	NaN
cg1178	0.01	NaN
cg1179	0.01	NaN
cg1180	0.01	NaN
cg1181	0.01	NaN
cg1182	0.01	NaN
cg1183	0.01	NaN
cg1184	0.01	NaN
cg1185	0.01	NaN
cg1187	0.01	NaN
cg1189	0.01	NaN
cg1190	0.01	NaN
cg1191	0.01	NaN
cg1192	0.01	NaN
cg1193	0.01	NaN
cg1194	0.01	NaN
cg1195	0.01	NaN
cg1197	0.01	NaN
cg1198	0.01	NaN
cg1199	0.01	NaN
cg1201	0.01	NaN
cg1202	0.01	NaN
cg1203	0.01	NaN
cg1204	0.01	NaN
cg1205	0.01	NaN
cg1206	0.01	NaN
cg1207	0.01	NaN
cg1208	0.01	NaN
cg1209	0.01	NaN
cg1210	0.01	NaN
cg1211	0.01	NaN
cg1212	0.01	NaN
cg1213	0.01	NaN
cg1214	0.01	NaN
cg1215	0.01	NaN
cg1216	0.01	NaN
cg1218	0.01	NaN
cg1219	0.01	NaN
cg1220	0.01	NaN
cg1221	0.01	NaN
cg1222	0.01	NaN
cg1224	0.01	NaN
cg1225	0.01	NaN
