Reaction ID,Name,Equation,Lower Bound,Upper Bound
HSST_2,HSST_2,hom__L_c + succoa_c --> coa_c + suchms_c,0.0,1000.0
HXCT,Acetyl-CoA:hexanoate-CoA transferase,accoa_c + hxa_c --> ac_c + hxcoa_c,0.0,1000.0
MALGT,maltose alpha-D-glucosyltransferase,malt_c <=> tre_c,-1000.0,1000.0
MALTATr,maltose O-acetyltransferase,accoa_c + malt_c <=> acmalt_c + coa_c,-1000.0,1000.0
MAN1PG,mannose-1-phosphate guanylyltransferase,gtp_c + man1p_c <=> gdpmann_c + ppi_c,-1000.0,1000.0
MAN6PI,mannose-6-phosphate isomerase,man6p_c <=> f6p_c,-1000.0,1000.0
MCITL2,methylisocitrate lyase,micit_c <=> pyr_c + succ_c,-1000.0,1000.0
MM_COA_ADD5,Propanoyl-CoA:carbon-dioxide ligase (ADP-forming),atp_c + hco3_c + ppcoa_c <=> adp_c + h_c + mmcoa__S_c + pi_c,-1000.0,1000.0
MMM2,Methylmalonyl-CoA mutase,succoa_c --> mmcoa__R_c,0.0,1000.0
MSDH,methylmalonate-semialdehyde dehydrogenase,2mop_c + coa_c + h2o_c + nad_c --> hco3_c + nadh_c + ppcoa_c,0.0,1000.0
PFK_2,Phosphofructokinase,atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c,0.0,1000.0
PGLYCP,Phosphoglycolate phosphatase,2pglyc_c + h2o_c --> glyclt_c + pi_c,0.0,1000.0
PGMT,phosphoglucomutase,g1p_c <=> g6p_c,-1000.0,1000.0
PMANM,phosphomannomutase,man1p_c <=> man6p_c,-1000.0,1000.0
PPASUCC,PPASUCC,oaa_c + ppa_c --> pyr_c + succ_c,0.0,1000.0
RBK,ribokinase,atp_c + rib__D_c --> adp_c + h_c + r5p_c,0.0,1000.0
SUCptsp,"PTS system, sucrose-specific IIA component",h2o_c + sucr_e --> f6p_c + g6p_c,0.0,1000.0
TRE6p,trehalose-6-phosphate hydrolase,h2o_c + tre6p_c --> g6p_c + glc__D_c,0.0,1000.0
TRE6PP,trehalose-phosphatase,h2o_c + tre6p_c --> pi_c + tre_c,0.0,1000.0
TRE6PS,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)",g6p_c + udpg_c --> h_c + tre6p_c + udp_c,0.0,1000.0
UACGAMPpp,UDP-N-acetyl-D-glucosamine pyrophosphohydrolase,h2o_c + uacgam_c --> acgam1p_c + 2.0 h_c + ump_c,0.0,1000.0
UDPARA,UDPARA,h_c + r5p_c + utp_c --> ppi_c + udpara_c,0.0,1000.0
UDPG4E,UDPglucose 4-epimerase,udpg_c <=> udpgal_c,-1000.0,1000.0
UDPGALPpp,UDPgalactose pyrophosphohydrolase,h2o_c + udpgal_c --> gal1p_c + 2.0 h_c + ump_c,0.0,1000.0
UDPGPpp,UDPglucose pyrophosphohydrolase,h2o_c + udpg_c --> g1p_c + 2.0 h_c + ump_c,0.0,1000.0
UGLCURPpp,UDP-D-glucuronate pyrophosphohydrolase,h2o_c + udpglcur_c --> glcur1p_c + 2.0 h_c + ump_c,0.0,1000.0
XYLI1,xylose isomerase,xyl__D_c <=> xylu__D_c,-1000.0,1000.0
XYLI2,xylose isomerase,fru_c --> glc__D_c,0.0,1000.0
XYLK,xylulokinase,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,0.0,1000.0
GALKr,galactokinase,atp_c + gal_c --> adp_c + gal1p_c + h_c,0.0,1000.0
M1PD,mannitol-1-phosphate 5-dehydrogenase,f6p_c + h_c + nadh_c --> mnl1p_c + nad_c,0.0,1000.0
MAN2D,mannitol 2-dehydrogenase,fru_c + h_c + nadh_c --> mnl_c + nad_c,0.0,1000.0
MCITD,2-methylcitrate dehydratase,2mcit_c <=> 2mcacn_c + h2o_c,-1000.0,1000.0
HDPA1,dihydroxyacetone phosphate phosphatase,dha_c + pi_c --> dhap_c + h2o_c,0.0,1000.0
HDPA2,dihydroxyacetone phosphate phosphatase2,atp_c + dha_c --> adp_c + dhap_c,0.0,1000.0
ICL,Isocitrate lyase,icit_c --> glx_c + succ_c,0.0,1000.0
MALS,malate synthase,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,0.0,1000.0
ME1,malic enzyme (NAD),mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,0.0,1000.0
ME2,malic enzyme (NADP),mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,0.0,1000.0
PPA,inorganic diphosphatase,h2o_c + ppi_c --> h_c + 2.0 pi_c,0.0,1000.0
PPA2,inorganic triphosphatase,h2o_c + pppi_c --> h_c + pi_c + ppi_c,0.0,1000.0
PPC,phosphoenolpyruvate carboxylase,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,0.0,1000.0
PPCK,phosphoenolpyruvate carboxykinase,atp_c + oaa_c --> adp_c + co2_c + pep_c,0.0,1000.0
ABTA,4-aminobutyrate transaminase,4abut_c + akg_c --> glu__L_c + sucsal_c,0.0,1000.0
ACGK,acetylglutamate kinase,acglu_c + atp_c --> acg5p_c + adp_c,0.0,1000.0
ACGS,N-acetylglutamate synthase,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,0.0,1000.0
ACODA,acetylornithine deacetylase,acorn_c + h2o_c --> ac_c + orn_c,0.0,1000.0
ACOTA,acetylornithine transaminase,acorn_c + akg_c <=> acg5sa_c + glu__L_c,-1000.0,1000.0
AGPR,N-acetyl-g-glutamyl-phosphate reductase,acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,-1000.0,1000.0
AMPTASEPG,aminopeptidase (pro-gly),h2o_c + progly_c --> gly_c + pro__L_c,0.0,1000.0
ARGSL,argininosuccinate lyase,argsuc_c <=> arg__L_c + fum_c,-1000.0,1000.0
CBPS,carbamoyl-phosphate synthase (glutamine-hydrolysing),2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,0.0,1000.0
CSND,Creatinine deaminase,crtn_c + h2o_c --> nh3_c + nmeth_c,0.0,1000.0
G5SADs,L-glutamate 5-semialdehyde dehydratase (spontaneous),glu5sa_c --> 1pyr5c_c + h2o_c + h_c,0.0,1000.0
G5SD,glutamate-5-semialdehyde dehydrogenase,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,0.0,1000.0
GLU5K,glutamate 5-kinase,atp_c + glu__L_c --> adp_c + glu5p_c,0.0,1000.0
GLUNATF,glutamate N-acetyltransferase,acorn_c + glu__L_c <=> acglu_c + orn_c,-1000.0,1000.0
OCBT,ornithine carbamoyltransferase,cbp_c + orn_c <=> citr__L_c + h_c + pi_c,-1000.0,1000.0
ORNC,ornithine cyclase,orn_c --> nh3_c + pro__L_c,0.0,1000.0
P5CD,1-pyrroline-5-carboxylate dehydrogenase,1pyr5c_c + 2.0 h2o_c + nad_c --> glu__L_c + h_c + nadh_c,0.0,1000.0
P5CR,pyrroline-5-carboxylate reductase,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,0.0,1000.0
PROD2,Proline dehydrogenase,fad_c + pro__L_c --> 1pyr5c_c + fadh2_c + h_c,0.0,1000.0
SPMDAT1,Spermidine acetyltransferase,accoa_c + spmd_c --> N1aspmd_c + coa_c + h_c,0.0,1000.0
SPMDAT2,Spermidine acetyltransferase (N8),accoa_c + spmd_c --> coa_c + h_c + n8aspmd_c,0.0,1000.0
SPMS,spermidine synthase,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c,0.0,1000.0
SSALy,succinate-semialdehyde dehydrogenase (NADP),h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c,0.0,1000.0
UREAAH,urea amidohydrolase,h2o_c + urea_c --> co2_c + 2.0 nh4_c,0.0,1000.0
ARGSS,argininosuccinate synthase,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,0.0,1000.0
CG_biomass_cgl_ATCC13032,cgl biomass objective function (ATCC13032),0.098705 arabino_c + 47.7 atp_c + 0.01039 dna_c + 47.7 h2o_c + 0.062224 ions_c + 0.10598 mycoli_c + 0.098705 peptid_c + 0.029092 phosph_c + 0.54028 protein_c + 0.05195 rna_c + 0.002679 soluble_pool_c --> 47.7 adp_c + biomass_c + 47.7 h_c + 47.7 pi_c,0,0
BAMPN,Biotinyl-5'-AMP:apo-[carboxylase] ligase (AMP-forming),apo_c + btamp_c <=> amp_c + bccp_c + h_c,-1000.0,1000.0
BIOTIN_t,BIOTIN_t,atp_c + btn_e + h2o_c --> adp_c + btn_c + h_c + pi_c,0.0,1000.0
BTNAMP,Biotin:CoA ligase (AMP-forming),atp_c + btn_c + h_c --> btamp_c + ppi_c,0.0,1000.0
3HAD100,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),3hdecACP_c --> h2o_c + tdec2eACP_c,0.0,1000.0
3HAD120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),3hddecACP_c --> h2o_c + tddec2eACP_c,0.0,1000.0
3HAD121,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1),3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c,0.0,1000.0
3HAD140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),3hmrsACP_c --> h2o_c + tmrs2eACP_c,0.0,1000.0
3HAD141,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1),3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c,0.0,1000.0
3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),3hpalmACP_c --> h2o_c + tpalm2eACP_c,0.0,1000.0
3HAD161,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1),3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c,0.0,1000.0
3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),3hoctaACP_c --> h2o_c + toctd2eACP_c,0.0,1000.0
3HAD181,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1),3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c,0.0,1000.0
3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),3haACP_c --> but2eACP_c + h2o_c,0.0,1000.0
3HAD60,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),3hhexACP_c --> h2o_c + thex2eACP_c,0.0,1000.0
3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),3hoctACP_c --> h2o_c + toct2eACP_c,0.0,1000.0
3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),3odecACP_c + h_c + nadph_c <=> 3hdecACP_c + nadp_c,-1000.0,1000.0
3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c,-1000.0,1000.0
3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),3omrsACP_c + h_c + nadph_c <=> 3hmrsACP_c + nadp_c,-1000.0,1000.0
3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c,-1000.0,1000.0
3OAR180,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),3ooctdACP_c + h_c + nadph_c <=> 3hoctaACP_c + nadp_c,-1000.0,1000.0
3OAR40,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),actACP_c + h_c + nadph_c <=> 3haACP_c + nadp_c,-1000.0,1000.0
3OAR60,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),3ohexACP_c + h_c + nadph_c <=> 3hhexACP_c + nadp_c,-1000.0,1000.0
3OAR80,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),3ooctACP_c + h_c + nadph_c <=> 3hoctACP_c + nadp_c,-1000.0,1000.0
3OAS100,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),h_c + malACP_c + ocACP_c --> 3odecACP_c + BSU15920-MONOMER_mod_pan4p + co2_c,0.0,1000.0
3OAS120,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),dcaACP_c + h_c + malACP_c --> 3oddecACP_c + BSU15920-MONOMER_mod_pan4p + co2_c,0.0,1000.0
3OAS121,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1),cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + BSU15920-MONOMER_mod_pan4p + co2_c,0.0,1000.0
3OAS140,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + BSU15920-MONOMER_mod_pan4p + co2_c,0.0,1000.0
3OAS141,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1),cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + BSU15920-MONOMER_mod_pan4p + co2_c,0.0,1000.0
3OAS160,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),h_c + malACP_c + myrsACP_c --> 3opalmACP_c + BSU15920-MONOMER_mod_pan4p + co2_c,0.0,1000.0
3OAS161,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1),h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + BSU15920-MONOMER_mod_pan4p + co2_c,0.0,1000.0
3OAS180,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0),h_c + malACP_c + palmACP_c --> 3ooctdACP_c + BSU15920-MONOMER_mod_pan4p + co2_c,0.0,1000.0
3OAS181,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1),h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + BSU15920-MONOMER_mod_pan4p + co2_c,0.0,1000.0
3OAS60,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),butACP_c + h_c + malACP_c --> 3ohexACP_c + BSU15920-MONOMER_mod_pan4p + co2_c,0.0,1000.0
3OAS80,3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0),h_c + hexACP_c + malACP_c --> 3ooctACP_c + BSU15920-MONOMER_mod_pan4p + co2_c,0.0,1000.0
AACPS1,acyl-[acyl-carrier-protein] synthetase (n-C14:0),BSU15920-MONOMER_mod_pan4p + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c,0.0,1000.0
AACPS2,acyl-[acyl-carrier-protein] synthetase  (n-C14:1),BSU15920-MONOMER_mod_pan4p + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c,0.0,1000.0
AACPS3,acyl-[acyl-carrier-protein] synthetase  (n-C16:0),BSU15920-MONOMER_mod_pan4p + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c,0.0,1000.0
AACPS4,acyl-[acyl-carrier-protein] synthetase  (n-C16:1),BSU15920-MONOMER_mod_pan4p + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c,0.0,1000.0
AACPS5,acyl-[acyl-carrier-protein] synthetase  (n-C18:1),BSU15920-MONOMER_mod_pan4p + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,0.0,1000.0
AACPS6,acyl-[acyl-carrier-protein] synthetase  (n-C18:0),BSU15920-MONOMER_mod_pan4p + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,0.0,1000.0
AACPS7,acyl-[acyl-carrier-protein] synthetase  (n-C12:0),BSU15920-MONOMER_mod_pan4p + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c,0.0,1000.0
AACPS8,acyl-[acyl-carrier-protein] synthetase  (n-C10:0),BSU15920-MONOMER_mod_pan4p + atp_c + dca_c --> amp_c + dcaACP_c + ppi_c,0.0,1000.0
AACPS9,acyl-[acyl-carrier-protein] synthetase  (n-C8:0),BSU15920-MONOMER_mod_pan4p + atp_c + octa_c --> amp_c + ocACP_c + ppi_c,0.0,1000.0
ALAALAr,D-alanine-D-alanine ligase (reversible),2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c,-1000.0,1000.0
CDPDAG,CDPDAG,ctp_c + pa_c <=> cdpdag_c + ppi_c,-1000.0,1000.0
CLPN,CLPN,apg_c --> clpn_c + glyc_c + pi_c,0.0,1000.0
EAR100x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0),h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,0.0,1000.0
EAR100y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0),h_c + nadph_c + tdec2eACP_c --> dcaACP_c + nadp_c,0.0,1000.0
EAR120x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0),h_c + nadh_c + tddec2eACP_c --> ddcaACP_c + nad_c,0.0,1000.0
EAR120y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0),h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c,0.0,1000.0
EAR121x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1),h_c + nadh_c + t3c5ddeceACP_c --> cddec5eACP_c + nad_c,0.0,1000.0
EAR121y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1),h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c,0.0,1000.0
EAR140x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0),h_c + nadh_c + tmrs2eACP_c --> myrsACP_c + nad_c,0.0,1000.0
EAR140y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0),h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c,0.0,1000.0
EAR141x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1),h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c,0.0,1000.0
EAR141y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1),h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c,0.0,1000.0
EAR160x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0),h_c + nadh_c + tpalm2eACP_c --> nad_c + palmACP_c,0.0,1000.0
EAR160y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0),h_c + nadph_c + tpalm2eACP_c --> nadp_c + palmACP_c,0.0,1000.0
EAR161x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1),h_c + nadh_c + t3c9palmeACP_c --> hdeACP_c + nad_c,0.0,1000.0
EAR161y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1),h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c,0.0,1000.0
EAR180x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0),h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,0.0,1000.0
EAR180y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0),h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c,0.0,1000.0
EAR181x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1),h_c + nadh_c + t3c11vaceACP_c --> nad_c + octeACP_c,0.0,1000.0
EAR181y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1),h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c,0.0,1000.0
EAR40x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0),but2eACP_c + h_c + nadh_c --> butACP_c + nad_c,0.0,1000.0
EAR40y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0),but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c,0.0,1000.0
EAR60x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0),h_c + nadh_c + thex2eACP_c --> hexACP_c + nad_c,0.0,1000.0
EAR60y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0),h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c,0.0,1000.0
EAR80x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0),h_c + nadh_c + toct2eACP_c --> nad_c + ocACP_c,0.0,1000.0
EAR80y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0),h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,0.0,1000.0
FA100ACPHi,fatty-acyl-ACP hydrolase,dcaACP_c + h2o_c --> BSU15920-MONOMER_mod_pan4p + dca_c + h_c,0.0,1000.0
FA120ACPHi,fatty-acyl-ACP hydrolase,ddcaACP_c + h2o_c --> BSU15920-MONOMER_mod_pan4p + ddca_c + h_c,0.0,1000.0
FA140ACPHi,fatty-acyl-ACP hydrolase,h2o_c + myrsACP_c --> BSU15920-MONOMER_mod_pan4p + h_c + ttdca_c,0.0,1000.0
FA141ACPHi,fatty-acyl-ACP hydrolase,h2o_c + tdeACP_c --> BSU15920-MONOMER_mod_pan4p + h_c + ttdcea_c,0.0,1000.0
FA160ACPHi,fatty-acyl-ACP hydrolase,h2o_c + palmACP_c --> BSU15920-MONOMER_mod_pan4p + h_c + hdca_c,0.0,1000.0
FA161ACPHi,fatty-acyl-ACP hydrolase,h2o_c + hdeACP_c --> BSU15920-MONOMER_mod_pan4p + h_c + hdcea_c,0.0,1000.0
FA80ACPHi,fatty-acyl-ACP hydrolase,h2o_c + ocACP_c --> BSU15920-MONOMER_mod_pan4p + h_c + octa_c,0.0,1000.0
FACOAL100t2pp,fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling),atp_c + coa_c + dca_e + h_e --> amp_c + dcacoa_c + h_c + ppi_c,0.0,1000.0
FACOAL120t2pp,fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling),atp_c + coa_c + ddca_e + h_e --> amp_c + ddcacoa_c + h_c + ppi_c,0.0,1000.0
FACOAL140t2pp,fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling),atp_c + coa_c + h_e + ttdca_e --> amp_c + h_c + ppi_c + tdcoa_c,0.0,1000.0
FACOAL141t2pp,fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling),atp_c + coa_c + h_e + ttdcea_e --> amp_c + h_c + ppi_c + tdecoa_c,0.0,1000.0
FACOAL160t2pp,fatty-acid-CoA ligase (hexadecanoate transport via vectoral Co-A coupling),atp_c + coa_c + h_e + hdca_e --> amp_c + h_c + pmtcoa_c + ppi_c,0.0,1000.0
FACOAL161t2pp,fatty-acid-CoA ligase (hexadecenoate transport via vectoral Co-A coupling),atp_c + coa_c + h_e + hdcea_e --> amp_c + h_c + hdcoa_c + ppi_c,0.0,1000.0
